date,WILL5000IND_r2,WILLLRGCAP_r2,WILLLRGCAPVAL_r2,WILLLRGCAPGR_r2,WILLMIDCAP_r2,WILLMIDCAPVAL_r2,WILLMIDCAPGR_r2,WILLSMLCAP_r2,WILLSMLCAPVAL_r2,WILLSMLCAPGR_r2,WILL5000IND_sign,WILLLRGCAP_sign,WILLLRGCAPVAL_sign,WILLLRGCAPGR_sign,WILLMIDCAP_sign,WILLMIDCAPVAL_sign,WILLMIDCAPGR_sign,WILLSMLCAP_sign,WILLSMLCAPVAL_sign,WILLSMLCAPGR_sign,WILL5000IND_pch,WILLLRGCAP_pch,WILLLRGCAPVAL_pch,WILLLRGCAPGR_pch,WILLMIDCAP_pch,WILLMIDCAPVAL_pch,WILLMIDCAPGR_pch,WILLSMLCAP_pch,WILLSMLCAPVAL_pch,WILLSMLCAPGR_pch
1985-02-28,2.2387939876,2.1255890436000002,1.6005033120999999,2.7381644676000003,1.1921800968999998,0.0604618921,3.6559352025000003,5.832273300100001,3.55284801,8.5676217025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.49626,1.45794,1.26511,1.65474,1.09187,0.24589,1.91205,2.41501,1.8849,2.92705
1985-03-31,0.0,0.0749992996,0.6888668004,0.08623619559999998,0.6529771248999999,0.08895306250000001,3.4479290596,2.1259389636,0.256036,5.556533272899999,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27386,0.82998,-0.29366,-0.80807,0.29825,-1.85686,-1.45806,-0.506,-2.35723
1985-04-30,0.060368490000000004,0.013472244900000001,1.6361991396,2.3912601769,0.35504913959999995,0.0037075921,1.5054553808999998,0.0271755225,0.4649739721,0.9541187041000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2457,-0.11607,1.27914,-1.54637,-0.59586,0.06089,-1.22697,-0.16485,0.68189,-0.97679
1985-05-31,32.092451600400004,33.976541523600005,31.325737363600002,36.8727058441,24.490819392400006,20.729262643600006,28.44942244,17.5551782121,14.288475600099998,21.029469924100002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.66502,5.82894,5.59694,6.07229,4.94882,4.55294,5.3338,4.18989,3.78001,4.58579
1985-06-30,3.47747904,2.6634892804,2.90975364,2.4174652324,4.8273802369,6.3500976036,3.5798910436000004,5.303670820900001,6.056717881600001,4.6315344099999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8648,1.63202,1.7058,1.55482,2.19713,2.51994,1.89206,2.30297,2.46104,2.1521
1985-07-31,0.0,0.31794937689999997,0.041955328900000005,0.8705823025000001,1.4933573209,2.8229712288999997,0.6051128521,6.0918137856,6.3350876416,5.8706867025000005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.56387,-0.20483,-0.93305,1.22203,1.68017,0.77789,2.46816,2.51696,2.42295
1985-08-31,0.0523631689,0.21242880999999997,0.0796029796,0.41853136359999993,0.08584314009999998,0.3103381264,0.0011505664,0.23247826559999998,0.10165894560000001,0.40302182559999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22883,-0.4609,-0.28214,-0.64694,-0.29299,-0.55708,-0.03392,-0.48216,-0.31884,-0.63484
1985-09-30,15.2028248464,13.097161000000002,16.0943787684,10.297937721599999,22.467505200099996,26.6762953081,18.6974084025,28.185905721600005,24.551925900099995,31.8571065241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.89908,-3.619,-4.01178,-3.20904,-4.73999,-5.16491,-4.32405,-5.30904,-4.95499,-5.64421
1985-10-31,18.4551004836,22.164887361599998,22.106453062499998,22.232450916900003,15.8711404996,10.5234062404,22.025281472099998,15.3587961409,12.1930862596,18.6802890849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.29594,4.70796,4.70175,4.71513,3.98386,3.24398,4.69311,3.91903,3.49186,4.32207
1985-11-30,47.1280877001,49.999323840399995,29.606875088400002,77.17868481960001,46.910855722499996,44.02057104,49.7143447056,49.7452321809,47.10076900000001,52.30471684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.86499,7.07102,5.44122,8.78514,6.84915,6.6348,7.05084,7.05303,6.863,7.2322
